G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 45-8-2,CHC 45-80-2,45,8,True,30,40,DN80,8,1226,660,1886,420,310,319
CHC 45-8,CHC 45-80,45,8,True,30,40,DN80,8,1226,660,1886,420,310,319
CHC 45-9-2,CHC 45-90-2,45,9,True,30,40,DN80,9,1306,660,1966,420,310,323
CHC 45-9,CHC 45-90,45,9,True,37,50,DN80,9,1306,660,1966,420,310,323
CHC 45-10-2,CHC 45-100-2,45,10,True,37,50,DN80,10,1386,660,2046,420,310,347
CHC 45-10,CHC 45-100,45,10,True,37,50,DN80,10,1386,660,2046,420,310,347
CHC 45-11-2,CHC 45-110-2,45,11,True,45,60,DN80,11,1466,700,2166,470,345,413
CHC 45-11,CHC 45-110,45,11,True,45,60,DN80,11,1466,700,2166,470,345,413
CHC 45-12-2,CHC 45-120-2,45,12,True,45,60,DN80,12,1546,700,2246,470,345,417
CHC 45-12,CHC 45-120,45,12,True,45,60,DN80,12,1546,700,2246,470,345,417
CHC 45-13-2,CHC 45-130-2,45,13,True,45,60,DN80,13,1626,700,2326,470,345,421
CHC 64-1-1,CHC 64-10-1,64,1,True,4,5.5,DN100,1,561,335,896,230,188,105
CHC 64-1,CHC 64-10,64,1,True,5.5,7.5,DN100,1,561,430,991,260,208,110
CHC 64-2-2,CHC 64-20-2,64,2,True,7.5,10,DN100,2,644,430,1074,260,208,120
CHC 64-2-1,CHC 64-20-1,64,2,True,11,15,DN100,2,754,490,1244,330,255,155
CHC 64-2,CHC 64-20,64,2,True,11,15,DN100,2,754,490,1244,330,255,155
CHC 64-3-2,CHC 64-30-2,64,3,True,15,20,DN100,3,836,490,1326,330,255,195
CHC 64-3-1,CHC 64-30-1,64,3,True,15,20,DN100,3,836,490,1326,330,255,195
CHC 64-3,CHC 64-30,64,3,True,18.5,25,DN100,3,836,550,1386,330,255,205
CHC 64-4-2,CHC 64-40-2,64,4,True,18.5,25,DN100,4,919,550,1469,330,255,208
CHC 64-4-1,CHC 64-40-1,64,4,True,22,30,DN100,4,919,590,1509,360,285,260
CHC 64-4,CHC 64-40,64,4,True,22,30,DN100,4,919,590,1509,360,285,260
CHC 64-5-2,CHC 64-50-2,64,5,True,30,40,DN100,5,1001,660,1661,420,310,345
CHC 64-5-1,CHC 64-50-1,64,5,True,30,40,DN100,5,1001,660,1661,420,310,345
CHC 64-5,CHC 64-50,64,5,True,30,40,DN100,5,1001,660,1661,420,310,345
CHC 64-6-2,CHC 64-60-2,64,6,True,30,40,DN100,6,1084,660,1744,420,310,350
CHC 64-6-1,CHC 64-60-1,64,6,True,37,50,DN100,6,1084,660,1744,420,310,370
CHC 64-6,CHC 64-60,64,6,True,37,50,DN100,6,1084,660,1744,420,310,370
CHC 64-7-2,CHC 64-70-2,64,7,True,37,50,DN100,7,1166,660,1826,420,310,375
CHC 64-7-1,CHC 64-70-1,64,7,True,37,50,DN100,7,1166,660,1826,420,310,375
CHC 64-7,CHC 64-70,64,7,True,45,60,DN100,7,1166,700,1866,420,310,435
CHC 64-8-2,CHC 64-80-2,64,8,True,45,60,DN100,8,1248,700,1948,470,345,440
CHC 64-8-1,CHC 64-80-1,64,8,True,45,60,DN100,8,1248,700,1948,470,345,440
CHC 90-1-1,CHC 90-10-1,90,1,True,5.5,7.5,DN100,1,571,430,1001,260,208,120
CHC 90-1,CHC 90-10,90,1,True,7.5,10,DN100,1,571,430,1001,260,208,122
CHC 90-2-2,CHC 90-20-2,90,2,True,11,15,DN100,2,773,490,1263,330,255,165
CHC 90-2,CHC 90-20,90,2,True,15,20,DN100,2,773,490,1263,330,255,198
CHC 90-3-2,CHC 90-30-2,90,3,True,18.5,25,DN100,3,865,550,1415,330,255,212
CHC 90-3,CHC 90-30,90,3,True,22,30,DN100,3,865,590,1455,360,285,265
CHC 90-4-2,CHC 90-40-2,90,4,True,30,40,DN100,4,957,660,1617,420,310,348
CHC 90-4,CHC 90-40,90,4,True,30,40,DN100,4,957,660,1617,420,310,348
CHC 90-5-2,CHC 90-50-2,90,5,True,37,50,DN100,5,1049,660,1709,420,310,375
CHC 90-5,CHC 90-50,90,5,True,37,50,DN100,5,1049,660,1709,420,310,375
CHC 90-6-2,CHC 90-60-2,90,6,True,45,60,DN100,6,1141,700,1841,475,345,438
CHC 90-6,CHC 90-60,90,6,True,45,60,DN100,6,1141,700,1841,475,345,438
CHC 120-1,CHC 120-10,120,1,True,11,15,DN125,1,840,490,1330,330,255,230
CHC 120-2-2,CHC 120-20-2,120,2,True,18.5,25,DN125,2,1000,550,1550,330,255,250
CHC 120-2-1,CHC 120-20-1,120,2,True,18.5,25,DN125,2,1000,550,1550,330,255,250
CHC 120-2,CHC 120-20,120,2,True,22,30,DN125,2,1000,590,1590,360,285,285
CHC 120-3-2,CHC 120-30-2,120,3,True,30,40,DN125,3,1160,660,1820,400,310,360
CHC 120-3-1,CHC 120-30-1,120,3,True,30,40,DN125,3,1160,660,1820,400,310,360
CHC 120-3,CHC 120-30,120,3,True,30,40,DN125,3,1160,660,1820,400,310,360
CHC 120-4-2,CHC 120-40-2,120,4,True,37,50,DN125,4,1320,660,1980,400,310,400
CHC 120-4-1,CHC 120-40-1,120,4,True,37,50,DN125,4,1320,660,1980,400,310,400
CHC 120-4,CHC 120-40,120,4,True,45,60,DN125,4,1480,700,2180,460,340,450
CHC 120-5-2,CHC 120-50-2,120,5,True,45,60,DN125,5,1480,700,2180,460,340,470
CHC 120-5-1,CHC 120-50-1,120,5,True,45,60,DN125,5,1480,700,2180,460,340,470
CHC 120-5,CHC 120-50,120,5,True,55,75,DN125,5,1480,770,2250,540,370,555
CHC 120-6-2,CHC 120-60-2,120,6,True,55,75,DN125,6,1670,770,2440,540,370,585
CHC 120-6-1,CHC 120-60-1,120,6,True,55,75,DN125,6,1670,770,2440,540,370,585
CHC 120-6,CHC 120-60,120,6,True,75,100,DN125,6,1670,845,2515,580,410,685
CHC 120-7-2,CHC 120-70-2,120,7,True,75,100,DN125,7,1830,845,2675,580,410,715
CHC 120-7-1,CHC 120-70-1,120,7,True,75,100,DN125,7,1830,845,2675,580,410,715
CHC 120-7,CHC 120-70,120,7,True,75,100,DN125,7,1830,845,2675,580,410,715
CHC 150-1-1,CHC 150-10-1,150,1,True,11,15,DN125,1,840,490,1330,330,255,230
CHC 150-1,CHC 150-10,150,1,True,15,20,DN125,1,840,490,1330,330,255,235
CHC 150-2-2,CHC 150-20-2,150,2,True,22,30,DN125,2,1000,590,1590,360,285,295
CHC 150-2-1,CHC 150-20-1,150,2,True,22,30,DN125,2,1000,590,1590,360,285,295
CHC 150-2,CHC 150-20,150,2,True,30,40,DN125,2,1000,660,1660,400,310,335
CHC 150-3-2,CHC 150-30-2,150,3,True,30,40,DN125,3,1160,660,1820,400,310,360
CHC 150-3-1,CHC 150-30-1,150,3,True,37,50,DN125,3,1160,660,1820,400,310,385
CHC 150-3,CHC 150-30,150,3,True,37,50,DN125,3,1160,660,1820,400,310,385
CHC 150-4-2,CHC 150-40-2,150,4,True,45,60,DN125,4,1320,700,2020,460,340,460
CHC 150-4-1,CHC 150-40-1,150,4,True,45,60,DN125,4,1320,700,2020,460,340,460
CHC 150-4,CHC 150-40,150,4,True,55,75,DN125,4,1320,770,2090,540,370,545
CHC 150-5-2,CHC 150-50-2,150,5,True,55,75,DN125,5,1510,770,2280,540,370,570
CHC 150-5-1,CHC 150-50-1,150,5,True,75,100,DN125,5,1510,845,2355,580,410,670
CHC 150-5,CHC 150-50,150,5,True,75,100,DN125,5,1510,845,2355,580,410,670
CHC 150-6-2,CHC 150-60-2,150,6,True,75,100,DN125,6,1670,845,2515,580,410,700
CHC 150-6-1,CHC 150-60-1,150,6,True,75,100,DN125,6,1670,845,2515,580,410,700
CHC 150-6,CHC 150-60,150,6,True,75,100,DN125,6,1670,845,2515,580,410,700
CHC 200-1-B,CHC 200-10-B,200,1,True,18.5,25,DN150,1,907,550,1457,330,255,311
CHC 200-1-A,CHC 200-10-A,200,1,True,22,30,DN150,1,907,575,1482,360,285,347
CHC 200-1,CHC 200-10,200,1,True,30,40,DN150,1,907,650,1557,400,310,403
CHC 200-2-2B,CHC 200-20-2B,200,2,True,37,50,DN150,2,1101,650,1751,400,310,447
CHC 200-2-2A,CHC 200-20-2A,200,2,True,45,60,DN150,2,1101,685,1786,460,340,504
CHC 200-2-A,CHC 200-20-A,200,2,True,55,75,DN150,2,1131,760,1891,540,370,595
CHC 200-2,CHC 200-20,200,2,True,55,75,DN150,2,1131,760,1891,540,370,595
CHC 200-3-2B,CHC 200-30-2B,200,3,True,75,100,DN150,3,1325,845,2170,580,410,748
CHC 200-3-A-B,CHC 200-30-A-B,200,3,True,75,100,DN150,3,1325,845,2170,580,410,748
CHC 200-3-2A,CHC 200-30-2A,200,3,True,75,100,DN150,3,1325,845,2170,580,410,748
CHC 200-3-B,CHC 200-30-B,200,3,True,75,100,DN150,3,1325,845,2170,580,410,748
CHC 200-3-A,CHC 200-30-A,200,3,True,75,100,DN150,3,1325,845,2170,580,410,748
CHC 200-3,CHC 200-30,200,3,True,90,125,DN150,3,1325,895,2220,580,410,817
CHC 200-4-2B,CHC 200-40-2B,200,4,True,90,125,DN150,4,1519,895,2414,580,410,830
CHC 200-4-2A,CHC 200-40-2A,200,4,True,110,150,DN150,4,1519,1140,2659,645,550,1180
CHC 200-4-A,CHC 200-40-A,200,4,True,110,150,DN150,4,1519,1140,2659,645,550,1180
CHC 200-4,CHC 200-40,200,4,True,110,150,DN150,4,1519,1140,2659,645,550,1180
